app_guid,app_legacy_id,app_name,scan_url,scan_date,module
e92ff36b-e2ec-49d5-b3c1-592511ce7eb0,970910,sqli-labs-1,StaticOverview:14212:970910:9938878:9914273:9929936,2020-12-08T14:50:53.000Z,PHP files within sqli-labs.zip
e92ff36b-e2ec-49d5-b3c1-592511ce7eb0,970910,sqli-labs-1,StaticOverview:14212:970910:9938878:9914273:9929936,2020-12-08T14:50:53.000Z,sqli-labs.zip_htmljscode.veracodegen.htmla.jsa
aac57686-c5a8-4edb-ae0c-46695d42bd43,970916,nodegoat-1,StaticOverview:14212:970916:9938880:9914275:9929938,2020-12-08T14:49:58.000Z,nodegoat.zip_htmljscode.veracodegen.htmla.jsa
dce0e4a0-99a9-46fc-8c22-b1351a596015,970921,hackademic-1,StaticOverview:14212:970921:9938884:9914279:9929942,2020-12-08T14:52:27.000Z,PHP files within hackademic.zip
dce0e4a0-99a9-46fc-8c22-b1351a596015,970921,hackademic-1,StaticOverview:14212:970921:9938884:9914279:9929942,2020-12-08T14:52:27.000Z,hackademic.zip_htmljscode.veracodegen.htmla.jsa
f9b1f3f0-8935-4e21-b468-ce5c32186e23,970924,dvws-1,StaticOverview:14212:970924:9938887:9914282:9929945,2020-12-08T14:50:37.000Z,PHP files within dvws.zip
f9b1f3f0-8935-4e21-b468-ce5c32186e23,970924,dvws-1,StaticOverview:14212:970924:9938887:9914282:9929945,2020-12-08T14:50:37.000Z,dvws.zip_htmljscode.veracodegen.htmla.jsa
bf9184ad-b90b-4794-9109-c708f19113c3,971568,veracode-offboard,StaticOverview:14212:971568:9748223:9723698:9739361,2020-11-23T20:06:51.000Z,project.zip_htmlpythoncode.veracodegen.htmla.pya
6b7699d7-3135-4085-8bf7-1be7261cef16,971579,veracode-workspace-auto-create,StaticOverview:14212:971579:9356617:9332311:9347974,2020-10-22T19:35:28.000Z,project.zip_htmlpythoncode.veracodegen.htmla.pya
b46a5e1a-adad-4dd0-afa2-5a9d43789b4e,972077,veracode-python-api_credentials_expiry-example,StaticOverview:14212:972077:9369119:9344612:9360275,2020-10-23T15:32:10.000Z,project.zip_htmlpythoncode.veracodegen.htmla.pya
d6bd3e19-3256-467b-a4c0-727c67453516,972085,veracode-user-bulk-role-assign,StaticOverview:14212:972085:9369515:9345208:9360871,2020-10-23T15:48:57.000Z,project.zip_htmlpythoncode.veracodegen.htmla.pya
42d3d4d4-9725-4d54-9cdf-e9843c54881f,972086,veracode-sandbox-auto-recreate,StaticOverview:14212:972086:9369959:9345452:9361115,2020-10-23T16:10:05.000Z,project.zip_htmlpythoncode.veracodegen.htmla.pya
